;longitude;latitude;housing_median_age;total_rooms;total_bedrooms;population;households;median_income;median_house_value;ocean_proximity;people_per_household;rooms_per_person;beds_per_room
3127;-117,79;35,21;4;2;2;6;2;2,375;137500;INLAND;3;0,333333333;1
5917;-118,44;34,28;46;11;11;24;13;2,875;162500;<1H OCEAN;1,846153846;0,458333333;1
7169;-118,17;34,06;43;464;435;416;120;2,475;142600;<1H OCEAN;3,466666667;1,115384615;0,9375
19603;-121,02;37,48;26;467;435;244;83;4,1346;187500;INLAND;2,939759036;1,913934426;0,931477516
17816;-121,9;37,37;20;78;72;120;69;1,0938;187500;<1H OCEAN;1,739130435;0,65;0,923076923
20065;-120,37;38,01;30;473;435;242;93;2,5417;123200;INLAND;2,602150538;1,954545455;0,919661734
15886;-122,38;37,73;40;543;435;259;89;2,2167;193800;NEAR BAY;2,91011236;2,096525097;0,801104972
2648;-124,13;40,55;38;544;435;240;91;3,25;94800;<1H OCEAN;2,637362637;2,266666667;0,799632353
9618;-120,32;37,29;38;576;435;478;112;2,3382;59600;INLAND;4,267857143;1,205020921;0,755208333
2780;-114,65;32,79;21;44;33;64;27;0,8571;25000;INLAND;2,37037037;0,6875;0,75
4588;-118,27;34,05;37;350;245;1122;248;2,7634;137500;<1H OCEAN;4,524193548;0,311942959;0,7
4584;-118,27;34,06;25;1714;1176;3723;1036;1,3241;112500;<1H OCEAN;3,593629344;0,460381413;0,686114352
9567;-120,61;37,36;16;638;435;380;132;1,9135;87500;INLAND;2,878787879;1,678947368;0,681818182
4602;-118,27;34,05;24;323;214;751;189;1,8304;225000;<1H OCEAN;3,973544974;0,430093209;0,6625387
4586;-118,27;34,06;26;513;338;1204;321;1,4904;275000;<1H OCEAN;3,750778816;0,426079734;0,658869396
4593;-118,27;34,05;25;1316;836;2796;784;1,7866;325000;<1H OCEAN;3,566326531;0,470672389;0,635258359
4640;-118,3;34,06;47;1390;872;2860;827;1,468;137500;<1H OCEAN;3,45828295;0,486013986;0,627338129
4585;-118,27;34,06;45;564;353;1172;319;1,494;187500;<1H OCEAN;3,673981191;0,481228669;0,625886525
4739;-118,38;34,05;49;702;435;458;187;4,8958;333600;<1H OCEAN;2,449197861;1,532751092;0,61965812
16875;-122,39;37,6;34;707;435;381;156;4,375;340900;NEAR OCEAN;2,442307692;1,855643045;0,615275813
4603;-118,27;34,05;12;535;328;1194;365;1,2012;275000;<1H OCEAN;3,271232877;0,448073702;0,613084112
4264;-118,33;34,1;43;2732;1646;3049;1429;1,3157;333300;<1H OCEAN;2,133659902;0,896031486;0,602489019
7764;-118,1;33,91;36;726;435;490;130;3,6389;167600;<1H OCEAN;3,769230769;1,481632653;0,599173554
19814;-119,3;36,57;32;728;435;461;149;3,0156;109100;INLAND;3,093959732;1,579175705;0,597527473
